Time_min,Time_hr,Systemic_FdUMP_uM,Systemic_FdUTP_uM,Systemic_FUTP_uM,Tumor_FdUMP_uM,Tumor_FdUTP_uM,Tumor_FUTP_uM
3640.4,60.6733333333333,7.93660747036853,4.8757504619961,22.6101658392395,0.575048792059547,0.214971656247529,3.00723527507311
3640.6,60.6766666666667,7.93750305038623,4.87563720878715,22.6082183027687,0.575032064709608,0.214965978540495,3.00679076066793
3640.8,60.68,7.93839738000943,4.87552406268206,22.6062727544084,0.575015352745986,0.21496030614688,3.00634663850278
3641,60.6833333333333,7.9392904586075,4.87541102370614,22.6043291922639,0.574998656167171,0.214954639067752,3.00590290825248
3641.2,60.6866666666667,7.94018228555075,4.87529809188463,22.6023876144429,0.574981974971664,0.214948977304181,3.00545956959218
3641.4,60.69,7.94107286021045,4.87518526724276,22.6004480190557,0.574965309157977,0.214943320857232,3.00501662219735
3641.6,60.6933333333333,7.94196218195881,4.87507254980569,22.5985104042149,0.574948658724632,0.214937669727972,3.00457406574382
3641.8,60.6966666666667,7.942850250169,4.87495993959857,22.5965747680358,0.574932023670163,0.214932023917466,3.00413189990774
3642,60.7,7.94373706421514,4.87484743664652,22.5946411086364,0.574915403993111,0.214926383426776,3.00369012436558
3642.2,60.7033333333333,7.9446226234723,4.87473504097459,22.5927094241368,0.57489879969203,0.214920748256964,3.00324873879415
3642.4,60.7066666666667,7.94550692731651,4.87462275260781,22.59077971266,0.574882210765484,0.214915118409091,3.00280774287061
3642.6,60.71,7.94638997512474,4.8745105715712,22.5888519723312,0.574865637212047,0.214909493884216,3.00236713627243
3642.8,60.7133333333333,7.94727176627492,4.8743984978897,22.5869262012782,0.574849079030301,0.214903874683397,3.00192691867742
3643,60.7166666666667,7.94815230014594,4.87428653158825,22.5850023976315,0.574832536218843,0.214898260807692,3.00148708976371
3643.2,60.72,7.94903157611764,4.87417467269172,22.5830805595238,0.574816008776276,0.214892652258155,3.00104764920979
3643.4,60.7233333333333,7.94990959357081,4.87406292122499,22.5811606850905,0.574799496701215,0.214887049035842,3.00060859669445
3643.6,60.7266666666667,7.9507863518872,4.87395127721285,22.5792427724693,0.574782999992284,0.214881451141805,3.00016993189681
3643.8,60.73,7.95166185044951,4.87383974068011,22.5773268198006,0.574766518648119,0.214875858577096,2.99973165449635
3644,60.7333333333333,7.95253608864141,4.8737283116515,22.5754128252272,0.574750052667364,0.214870271342767,2.99929376417285
3644.2,60.7366666666667,7.9534090658475,4.87361699015174,22.5735007868942,0.574733602048674,0.214864689439865,2.99885626060644
3644.4,60.74,7.95428078145336,4.87350577620552,22.5715907029496,0.574717166790715,0.214859112869441,2.99841914347755
3644.6,60.7433333333333,7.95515123484551,4.87339466983748,22.5696825715435,0.574700746892161,0.214853541632541,2.99798241246697
3644.8,60.7466666666667,7.95602042541144,4.87328367107222,22.5677763908285,0.574684342351698,0.214847975730211,2.9975460672558
